978	8364	555	569	3708
85	78	466	3005	3523
5182	17544	189	24495	24250
5386	9158	23002	5646	729
569	3194	2031	1150	30
792	33183	8661	9716	16216
403	60373	19102	40320	28328
446	457	459	439	35509
3952	711	280	480	376
357	5614	6703	5616	9399
653	2790	480	3072	3952
726	3206	13017	3847	4110
1500	1543	954	635	1231
2031	6343	978	569	35
1034	6380	1097	361	4883
28265	50186	38096	61487	21780
2774	15758	8690	342	1172
1313	48100	12654	45878	54144
1420	18970	35312	58486	35424
1452	33843	28993	20983	4059
17819	51193	37439	4182	45349
1989	4042	5073	2198	5105
1500	1543	954	635	1705
35661	2189	44151	9728	34623
2229	55233	41882	14971	58144
7701	2720	2336	3127	303
7530	54758	2415	20036	2427
954	1500	1543	1685	797
7701	582	2720	2336	284
1494	5614	5616	6703	16503
1500	2724	635	954	1152
1071	4298	153	9886	649
2842	30744	23819	14826	52849
2899	44396	2900	52553	51763
760	3169	7128	10244	3005
5614	6703	5616	9399	5536
3931	7505	1097	3178	4191
3235	34724	19206	1086	1736
3261	3292	60916	1479	41275
728	555	8364	978	6343
3519	3571	12527	3517	55923
5069	3271	444	57809	27460
2031	931	22	7959	565
3678	1097	480	3220	10250
2031	22	7959	1003	28058
3762	3761	54708	36398	20711
3600	1436	711	2198	2666
3802	3807	2472	3837	12142
3947	3946	3343	4194	5417
4112	26846	3812	57356	26573
4180	7256	2084	2278	47183
5908	4184	8021	5595	770
5484	1071	649	4298	1097
55663	46430	31961	40806	8610
5484	92	4413	4415	2640
91	711	3155	1306	911
4516	339	35912	18205	2167
711	9158	1850	1436	1140
4663	1436	8337	711	1406
3194	30	569	8364	2031
104	12880	4128	1999	8089
1343	753	12895	8360	14180
9158	711	4174	1436	729
5207	1711	31779	10723	24334
2182	5245	476	2587	5264
3946	4194	5417	17196	5421
2441	4901	4877	6058	4908
1500	1543	954	635	9
1071	649	4298	153	5160
91	711	1462	3155	911
5685	52950	54035	9924	15460
569	3194	2031	1150	1
5785	26526	1702	1699	53884
5831	36599	45913	48033	52893
5948	15913	56738	15546	25823
569	3194	2031	1150	30
2720	2336	582	389	7701
6075	52337	25111	44284	58639
7701	2720	582	2336	284
6174	39250	34554	46346	36025
91	711	3155	1306	1432
6256	36659	34074	53019	8616
7701	285	389	2336	2720
6309	6314	6293	19149	59152
281	2185	5835	271	536
6380	1097	3931	12398	4191
746	401	370	9113	8648
6640	28214	6634	59965	48376
4071	339	32378	4516	2167
569	3194	2031	1150	1
5149	296	2173	974	3627
50626	6871	6550	55905	1436
6944	18835	17549	12137	19485
13017	3847	3206	3717	5515
7029	49578	48608	40686	9068
649	6058	4901	4877	1071
17087	7204	51956	18430	43459
2301	2278	7256	1705	1500
3343	24039	31100	61132	42251
2588	2550	6999	2832	4947
2925	1867	919	8517	1094
443	476	2182	4725	1254
7517	476	4725	2182	443
3070	1432	3227	1297	3923
7601	637	37704	1742	30094
7607	7656	7085	3244	7614
7719	33175	52130	26958	51805
1500	2724	635	954	1152
7849	35322	58352	26846	16205
5070	1436	1850	2235	711
3005	3120	2567	467	2794
7954	20061	7972	46348	56407
14888	2567	23863	39347	1766
3925	571	40078	23587	24038
575	1705	1500	2084	5603
9647	48922	8283	8302	8256
3	5149	34	4405	3838
3344	587	5153	11354	8055
8412	8422	8433	3894	2468
4122	55905	29394	14647	9925
2720	7701	582	2336	389
8514	7011	16866	919	9886
182	10746	25384	8533	12220
7701	2720	582	2336	3127
378	1436	711	1406	8337
569	8364	3194	713	6343
8763	21642	13146	25416	21635
10	14180	753	8360	4007
3649	14348	36415	1097	12160
8924	48468	29799	55320	24301
1458	42075	54209	24635	57301
1509	8994	53056	11592	53099
9041	28181	49119	42560	50494
3708	569	978	3194	6343
3952	711	480	376	1850
9275	41563	27175	61136	58234
9312	1423	25156	561	15290
9445	9444	19575	22446	33178
9504	1108	37766	57116	30898
8021	5595	5908	4184	9597
9662	20671	53007	40829	44941
3337	954	1500	1705	13511
35661	10440	35650	54625	10438
48423	19113	11321	1705	20195
582	2720	3127	7701	389
1867	919	1094	9886	1071
1500	1543	635	1705	1231
9927	1462	1436	24206	2553
1742	16866	4214	919	4908
10037	53300	58897	56410	10036
91	711	3155	1306	1432
10115	48525	27384	17691	23488
10165	55172	34606	48591	146
10208	59139	18868	21365	35597
4901	649	9886	4298	153
842	126	2588	2550	6999
10359	10391	26377	10372	10377
2182	476	2587	8701	3780
2031	1828	22	1003	978
1377	8021	52082	4184	5908
8089	35496	8290	15113	8296
3498	3453	3482	546	14206
10676	11657	42753	28576	41193
10698	58029	759	3226	15819
48401	48397	10722	10746	23212
3952	280	1943	376	1387
2234	12771	25159	13243	47464
944	740	46495	2760	3727
561	570	17859	17880	602
4616	8300	5377	10895	3779
5512	33057	11969	39421	17655
10976	10975	34606	40239	37338
11061	15451	2789	53603	42075
32645	769	5713	339	11092
9158	989	711	1436	1022
6928	44561	29776	23448	11435
11191	11195	11200	11209	11220
7701	3127	582	303	284
11320	11319	28435	8324	53620
2550	842	4194	11352	52130
76	546	612	2960	3372
11435	27595	1075	3660	38399
3443	549	476	4725	2182
544	1547	7836	11405	12895
11591	38399	32197	53095	50982
91	711	3155	1306	911
569	3194	2031	1150	30
2031	3194	1150	1462	235
11774	11773	51447	30627	45509
3655	3638	12160	649	4831
35790	15984	35771	46106	46077
569	2031	1150	1	8364
11945	3113	11970	11959	2278
12009	49271	24924	37304	11647
3708	978	8364	1828	35
2031	615	10839	1462	711
1172	923	926	5484	4758
5614	9399	6703	1494	16503
12251	6993	36331	25619	24643
12268	12270	32303	27049	12263
1500	1543	954	1705	1231
4666	24261	40128	6218	18868
257	519	81	1149	23960
2724	1500	1705	1543	954
1766	2567	6408	6429	40413
12411	57230	20668	57595	36940
2790	3678	10250	1097	9591
12643	28765	19162	12656	9017
42827	53721	3271	438	4511
29516	18777	6950	5163	44820
12748	11682	32054	27156	6843
942	24	4003	8796	8841
1103	11327	3263	4895	649
1500	2724	635	954	1152
4029	46078	24011	12907	19831
476	443	2064	5351	8701
12951	27128	27121	55854	12954
4298	153	1071	649	4901
316	2336	766	7701	25671
6533	954	1500	1543	1619
13149	55024	35303	42630	33299
1071	4298	649	153	3080
13255	44859	25345	52179	20659
3	5149	4405	3838	463
15856	44165	2184	35190	4059
4638	2834	2064	476	2062
602	1554	27858	1532	599
13504	23819	14826	4576	23803
10587	13065	27591	4813	49062
1500	1543	954	635	9
13658	13629	10679	8908	2031
734	5515	116	2031	737
2063	2587	476	2064	2062
156	6069	13656	842	1340
13960	13911	36599	48033	45913
3708	6343	6244	978	8364
14020	17104	3761	6442	33456
1500	1705	5603	954	1543
14070	43097	14085	35892	54884
14111	2064	2062	4669	1254
711	486	1406	1850	1402
1071	4298	649	153	4901
3708	978	8364	1828	35
9044	43741	14310	61757	38925
1999	104	4128	7798	14328
91	711	3155	1306	911
14394	37149	28058	2031	14158
3196	12880	104	8089	32219
14403	36811	49692	105	2903
14502	14210	60506	28435	49978
14549	21457	36799	566	10463
2790	480	3072	3952	711
3380	43517	43099	8304	3431
2889	1097	4083	3199	4191
14712	59447	4182	14714	14717
14776	16646	2031	23438	57544
476	443	1254	2064	4725
476	3625	2062	14790	2587
14849	17619	4174	1141	729
14889	50485	23186	5706	27088
4131	44165	4267	51802	44003
3641	3220	711	4706	1097
34717	4179	54577	15000	34205
4442	2031	40	5494	3131
15045	2984	3169	9851	38304
12880	4128	8089	3196	2113
4870	3600	23003	14524	5053
15155	58326	15410	15168	15949
6533	1500	954	1543	1705
1409	9295	9312	1423	561
561	570	6121	17859	16531
15341	34672	1727	61136	41717
13017	14	3847	3206	3717
5484	1869	92	4413	4415
15407	13732	56997	57005	13147
8364	4762	37	4226	3194
15560	10517	5606	41655	33961
15620	15913	7911	10710	31472
15658	19368	16756	19969	51568
842	2588	126	61300	6999
1719	15006	2901	40278	46848
25384	3895	34381	3078	1742
15776	37520	16265	43317	30948
569	3194	2031	1150	1
15875	15883	40027	28265	8166
450	50526	3454	3271	3073
16095	16038	16018	4517	48715
575	1705	1500	2084	2278
3	5149	4405	3838	463
1071	4298	649	153	4901
20068	3348	12639	2084	3335
2031	22	1003	1462	5657
711	91	3070	3155	1306
5616	5614	16503	6703	5468
18	9103	3632	4987	7560
1999	4128	7794	7798	17173
9880	16216	16912	599	602
1500	1543	954	635	1705
256	50488	4324	1235	24797
10	14180	753	8360	4007
569	3194	2031	1150	1
16742	33226	25120	32230	33090
61757	16432	32771	46414	16772
16798	711	1850	480	3258
3245	1500	1705	9554	954
3826	8364	5515	978	2031
1071	9886	4901	4908	4343
1071	4298	649	153	4901
16965	40686	18868	7372	57983
427	8021	5595	4184	1161
16902	35562	40619	56823	17058
15716	5911	38847	1861	55495
15749	32257	2774	17159	39926
904	3245	1619	1500	9554
5515	116	13017	8364	734
16140	24206	50480	48706	12690
1543	954	1500	635	9
17247	2182	476	5264	2834
4588	2834	5264	476	2587
6334	30464	52906	28658	39989
1150	8364	15639	1462	1828
12243	17028	17296	17294	17299
2966	4210	38152	4225	42085
11970	4341	6134	17401	857
842	2588	6999	2550	2832
4114	3851	5999	3824	3076
1500	954	1543	635	9
4110	3847	3717	13017	737
4116	1705	1500	954	2278
17674	17673	24311	1799	18828
3365	4817	4877	2945	14656
49676	49677	17742	17741	3652
3895	3078	25466	35656	18940
5595	5908	8021	4184	9895
17843	24635	1727	42075	41733
3194	8364	569	30	2031
17916	2340	9247	28328	47543
4168	1436	711	1850	25
608	581	3226	8603	606
1500	1543	954	635	1231
1760	8146	21387	5311	9886
